x_label,season,episode_number,episode_title,ratings,scaled_ratings,viewership_mil
S6E105,6,105,Sabre,7.7,0.34375,7.36
S6E106,6,106,Manager and Salesman,8.1,0.46875,7.4
S6E107,6,107,The Delivery: Part 1,8.4,0.5625,9.0
S6E108,6,108,The Delivery: Part 2,8.5,0.59375,9.0
S6E109,6,109,St. Patrick's Day,7.7,0.34375,7.51
S6E110,6,110,New Leads,7.7,0.34375,7.63
S6E111,6,111,Happy Hour,8.6,0.625,7.17
S6E112,6,112,Secretary's Day,7.8,0.375,6.3
S6E113,6,113,Body Language,8.0,0.4375,7.01
S6E114,6,114,The Cover-Up,8.1,0.46875,6.84
S6E115,6,115,The Chump,7.8,0.375,6.6
S6E116,6,116,Whistleblower,8.0,0.4375,6.6
S7E117,7,117,Nepotism,8.4,0.5625,8.4
S7E118,7,118,Counseling,8.2,0.4999999999999996,7.36
S7E119,7,119,Andy's Play,8.2,0.4999999999999996,6.95
S7E120,7,120,Sex Ed,7.8,0.375,7.36
S7E121,7,121,The Sting,7.8,0.375,6.87
S7E122,7,122,Costume Contest,8.2,0.4999999999999996,8.07
S7E123,7,123,Christening,7.4,0.25,7.65
S7E124,7,124,Viewing Party,7.8,0.375,7.15
S7E125,7,125,WUPHF.com,7.7,0.34375,7.28
S7E126,7,126,China,8.2,0.4999999999999996,7.31
S7E127,7,127,Classy Christmas,9.0,0.75,7.18
S7E128,7,128,Ultimatum,8.3,0.53125,8.26
S7E129,7,129,The Seminar,7.6,0.3125,7.93
S7E130,7,130,The Search,8.5,0.59375,7.29
S7E131,7,131,PDA,8.4,0.5625,6.9
S7E132,7,132,Threat Level Midnight,9.4,0.875,6.41
S7E133,7,133,Todd Packer,7.5,0.28125,6.12
S7E134,7,134,Garage Sale,9.3,0.84375,7.07
S7E135,7,135,Training Day,7.8,0.375,7.87
S7E136,7,136,Michael's Last Dundies,9.0,0.75,6.85
S7E137,7,137,"Goodbye, Michael",9.8,1.0,8.42
S7E138,7,138,The Inner Circle,7.6,0.3125,6.9
S7E139,7,139,"Dwight K. Schrute, (Acting) Manager",8.7,0.6562499999999996,6.45
S7E140,7,140,Search Committee,8.8,0.6875,7.29
S8E141,8,141,The List,8.1,0.46875,7.64
S8E142,8,142,The Incentive,8.1,0.46875,6.7
S8E143,8,143,Lotto,7.3,0.21875,5.82
S8E144,8,144,Garden Party,8.1,0.46875,6.08
S8E145,8,145,Spooked,7.5,0.28125,5.53
S8E146,8,146,Doomsday,7.7,0.34375,6.15
S8E147,8,147,Pam's Replacement,7.7,0.34375,5.96
S8E148,8,148,Gettysburg,6.9,0.0937500000000004,5.5
S8E149,8,149,Mrs. California,7.7,0.34375,5.71
S8E150,8,150,Christmas Wishes,7.9,0.40625,5.79
S8E151,8,151,Trivia,7.9,0.40625,5.9
S8E152,8,152,Pool Party,8.0,0.4375,6.02
S8E153,8,153,Jury Duty,7.4,0.25,5.31
S8E154,8,154,Special Project,7.7,0.34375,5.19
S8E155,8,155,Tallahassee,7.8,0.375,4.38
S8E156,8,156,After Hours,8.1,0.46875,5.02
S8E157,8,157,Test the Store,7.8,0.375,4.95
S8E158,8,158,Last Day in Florida,7.8,0.375,4.89
S8E159,8,159,Get the Girl,6.6,0.0,4.87
S8E160,8,160,Welcome Party,7.1,0.15625,4.39
S8E161,8,161,Angry Andy,7.0,0.125,4.35
S8E162,8,162,Fundraiser,7.0,0.125,4.17
S8E163,8,163,Turf War,7.6,0.3125,4.44
S8E164,8,164,Free Family Portrait Studio,7.7,0.34375,4.49
