speaker,joy,sadness,anger,love,fear,surprise
Andy,0.4405885851867993,0.0664571214513271,0.36729722836518336,0.02390746223725702,0.08770565634958827,0.014043945950596182
Angela,0.35803160372855186,0.07423879305053754,0.4410833520215787,0.015958457567516487,0.10360689165989184,0.007080901257368732
Creed,0.4236380232924651,0.0671342587574097,0.38292636349924897,0.022616633081972332,0.09376556058169515,0.009919164350944093
Darryl,0.43919972844488114,0.06484198231445164,0.3889864380512133,0.01646234251169003,0.08259521268157781,0.007914294012774771
Dwight,0.3886675570645109,0.06957426275964565,0.411603025411165,0.014843683434959717,0.10511459062232109,0.010196880323186115
Erin,0.42511737639956937,0.08100762789979592,0.3537732235195049,0.0230393916999259,0.10359514002568604,0.013467239092580893
Jim,0.4630362687390419,0.06239929937133344,0.3467373117753538,0.016387918537548753,0.0970887258621556,0.014350475084649435
Kelly,0.376939131306484,0.08053914911360148,0.39649286634107833,0.04128818587077563,0.0909634685588773,0.013777198218886955
Kevin,0.3936598599271771,0.06501075940726156,0.4090260403148822,0.022412631256162562,0.09410997454387611,0.01578073385943295
Meredith,0.33415703489580517,0.08497549016719012,0.44419495181102475,0.02579253038753351,0.08585560540149761,0.02502439025134776
Michael,0.4664384335857791,0.07197025262697797,0.3448002192909257,0.02019988317590218,0.08448759960748248,0.012103611613007237
Oscar,0.39458476329313047,0.06052999838724911,0.4123506907071092,0.01547356442766018,0.1046724682587291,0.012388512005456858
Pam,0.4509441748677217,0.06825133309829547,0.34250357349760435,0.019304157969330677,0.1035573748614122,0.01543938522393068
Phyllis,0.4020870548744334,0.07393572384503629,0.38486363598085677,0.02094551011358062,0.10778861714492743,0.010379459420125855
Ryan,0.44703158774954554,0.06399737030140326,0.3656998328753235,0.01738665481050299,0.09139688350491991,0.014487674043022425
Stanley,0.34674345331262546,0.07292778241391809,0.44772879050022085,0.01582583435039526,0.10761954883101763,0.009154591313700966
Toby,0.4212361729119466,0.07132174539505767,0.37417205950202287,0.015128668143130884,0.10330755167739655,0.014833802669886802
