season,episode,All_lines,Andy_lines,Angela_lines,Bob_lines,Bob Vance_lines,Both_lines,Carol_lines,Cathy_lines,Charles_lines,Clark_lines,Creed_lines,Crowd_lines,Darryl_lines,David_lines,David Wallace_lines,Dwight_lines,Erin_lines,Everybody_lines,Everyone_lines,Gabe_lines,Group_lines,Guy_lines,Hank_lines,Holly_lines,Jan_lines,Jim_lines,Jo_lines,Josh_lines,Karen_lines,Kelly_lines,Kevin_lines,Man_lines,Meredith_lines,Michael_lines,Michael and Dwight_lines,Micheal_lines,Mose_lines,Nate_lines,Nellie_lines,Oscar_lines,Pam_lines,Pete_lines,Phyllis_lines,Robert_lines,Roy_lines,Ryan_lines,Stanley_lines,Toby_lines,Todd Packer_lines,Val_lines,Waiter_lines,Woman_lines,id,All_scenes,Andy_scenes,Angela_scenes,Bob_scenes,Bob Vance_scenes,Both_scenes,Carol_scenes,Cathy_scenes,Charles_scenes,Clark_scenes,Creed_scenes,Crowd_scenes,Darryl_scenes,David_scenes,David Wallace_scenes,Dwight_scenes,Erin_scenes,Everybody_scenes,Everyone_scenes,Gabe_scenes,Group_scenes,Guy_scenes,Hank_scenes,Holly_scenes,Jan_scenes,Jim_scenes,Jo_scenes,Josh_scenes,Karen_scenes,Kelly_scenes,Kevin_scenes,Man_scenes,Meredith_scenes,Michael_scenes,Michael and Dwight_scenes,Micheal_scenes,Mose_scenes,Nate_scenes,Nellie_scenes,Oscar_scenes,Pam_scenes,Pete_scenes,Phyllis_scenes,Robert_scenes,Roy_scenes,Ryan_scenes,Stanley_scenes,Toby_scenes,Todd Packer_scenes,Val_scenes,Waiter_scenes,Woman_scenes,index,episode_number,episode_title,description,ratings,votes,viewership_mil,duration,release_date,guest_stars,director,writers,has_guests,scaled_ratings
2,5,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0,7.0,27.0,0.0,3.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,4,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,11,0,0,0,1,2,0,0,23,0,0,0,0,0,3,11,0,1,0,0,1,1,0,0,0,0,0,10,10.0,Halloween,"Michael is pressured by corporate to fire someone, which puts a damper on the office Halloween party.",8.1,3392.0,8.0,30.0,2005-10-18,,Paul Feig,Greg Daniels,False,0.46875
2,6,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,18.0,3.0,5.0,0.0,0.0,0.0,0.0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,13,0,0,0,1,3,0,0,19,0,0,0,0,0,0,9,0,0,0,0,6,3,3,0,0,0,0,11,11.0,The Fight,Jim rallies the staff together to witness a showdown between Michael and Dwight at Dwight's martial arts school.,8.1,3388.0,7.9,22.0,2005-11-01,,Ken Kwapis,Gene Stupnitsky | Lee Eisenberg,False,0.46875
2,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,46.0,40.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,4.0,32.0,0.0,4.0,0.0,1.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,1,0,0,0,0,0,13,16,0,0,0,1,1,0,0,21,0,0,0,0,0,2,14,0,2,0,1,3,0,1,0,0,0,0,12,12.0,The Client,"With Michael and Jan Levinson-Gould away from the office to land a new client, the staff discovers an unproduced screenplay in Michael's office.",8.6,3533.0,7.5,22.0,2005-11-08,Tim Meadows,Greg Daniels,Paul Lieberstein,True,0.625
2,8,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,26.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,110.0,0.0,0.0,0.0,0.0,0.0,5.0,30.0,0.0,1.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,7,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,9,0,0,0,0,0,0,0,0,10,8,0,0,0,2,2,0,0,26,0,0,0,0,0,3,11,0,1,0,0,1,2,1,0,0,0,0,13,13.0,Performance Review,"Instead of talking to his employees about their work, Michael uses their annual review time to gather feedback on his ""relationship"" with Jan.",8.2,3216.0,8.0,22.0,2005-11-15,,Paul Feig,Larry Wilmore,False,0.4999999999999996
2,9,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,6.0,38.0,0.0,4.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,8,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,10,0,0,0,1,6,0,0,21,0,0,0,0,0,3,13,0,3,0,0,1,2,0,0,0,0,0,14,14.0,E-Mail Surveillance,"Michael decides to set up e-mail surveillance for all company e-mail, and discovers that Jim has invited everyone over for a barbeque except him.",8.4,3338.0,8.1,23.0,2005-11-22,Ken Jeong,Paul Feig,Jennifer Celotta,True,0.5625
2,10,1.0,0.0,9.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,11.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,9.0,12.0,0.0,10.0,90.0,0.0,0.0,0.0,0.0,0.0,10.0,17.0,0.0,6.0,0.0,8.0,15.0,5.0,3.0,3.0,0.0,0.0,0.0,9,1,0,8,0,2,0,0,0,0,0,3,0,3,0,0,21,0,0,0,0,0,0,0,0,0,13,0,0,0,5,11,0,6,33,0,0,0,0,0,8,11,0,5,0,2,7,4,3,1,0,0,0,15,15.0,Christmas Party,"Seeing the party is headed for disastrous boredom, Michael breaks corporate policy to buy alcohol for the staff.",8.9,3663.0,9.7,22.0,2005-12-06,,Charles McDougall,Michael Schur,False,0.71875
2,11,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,79.0,0.0,0.0,0.0,0.0,0.0,1.0,18.0,0.0,6.0,0.0,12.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,10,0,0,1,0,0,0,0,0,0,0,1,0,3,0,0,12,0,0,0,0,0,0,0,0,0,11,0,0,0,1,0,0,3,26,0,0,0,0,0,1,8,0,4,0,6,1,2,0,0,0,0,0,16,16.0,Booze Cruise,"The Dunder Mifflin staff go on a mandatory ""booze cruise"" to hear Michael give a motivational talk.",8.6,3536.0,8.7,22.0,2006-01-05,Rob Riggle,Ken Kwapis,Greg Daniels,True,0.625
2,12,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,124.0,0.0,0.0,0.0,0.0,0.0,3.0,57.0,0.0,3.0,0.0,0.0,13.0,4.0,7.0,0.0,0.0,0.0,0.0,11,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,13,0,0,0,0,0,0,0,0,0,15,0,0,0,1,2,0,1,25,0,0,0,0,0,2,13,0,2,0,0,5,2,1,0,0,0,0,17,17.0,The Injury,"Michael's ""injury"" from a George Foreman Grill distracts the staff from Dwight, the one with the real injury.",9.1,4314.0,10.3,22.0,2006-01-12,,Bryan Gordon,Mindy Kaling,False,0.7812499999999996
2,13,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,5.0,8.0,0.0,0.0,92.0,0.0,0.0,0.0,0.0,0.0,9.0,27.0,0.0,0.0,0.0,0.0,7.0,3.0,3.0,0.0,0.0,0.0,0.0,12,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,14,0,0,0,0,0,0,0,0,0,14,0,0,0,3,5,0,0,27,0,0,0,0,0,2,7,0,0,0,0,4,2,2,0,0,0,0,18,18.0,The Secret,"Jim fears the secret he told to Michael, in confidence, will be revealed to the staff.",8.3,3142.0,8.7,22.0,2006-01-19,,Dennie Gordon,Lee Eisenberg | Gene Stupnitsky,False,0.53125
2,14,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,3.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,10.0,8.0,0.0,0.0,101.0,1.0,0.0,0.0,0.0,0.0,5.0,28.0,0.0,1.0,0.0,6.0,13.0,2.0,8.0,1.0,0.0,0.0,0.0,13,0,0,2,0,0,0,0,0,0,0,4,0,1,0,0,8,0,0,0,0,0,0,0,0,0,11,0,0,0,6,3,0,0,28,1,0,0,0,0,4,17,0,1,0,4,6,2,3,1,0,0,0,19,19.0,The Carpet,Michael's office becomes the victim of an odorous prank which subjects the office to his punishment.,7.8,3118.0,8.6,22.0,2006-01-26,,Victor Nelli Jr.,Paul Lieberstein,False,0.375
2,15,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,55.0,22.0,0.0,0.0,0.0,9.0,4.0,0.0,5.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,9.0,0.0,15.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,14,0,0,3,0,0,0,0,0,0,0,0,0,7,0,0,6,0,0,0,0,0,1,0,0,18,6,0,0,0,5,3,0,4,25,0,0,0,0,0,0,10,0,5,0,4,2,1,0,0,0,0,0,20,20.0,Boys and Girls,"Jan comes into the Scranton Branch to give all the female employees a group seminar on women in the workplace. Upset that he is not allowed in on the proceedings, Michael takes all the men ...
                    See full summaryÃƒâ€šÃ‚Â Ãƒâ€šÃ‚Â»",8.2,3091.0,5.42,22.0,2006-02-02,,See full summary,B. J. Novak,False,0.4999999999999996
